name,competition,latitude,longitude
Aviron Bayonnais (Stade Jean Dauger),Top 14,43.485552,-1.479383
ASM Clermont Auvergne (Parc des Sports Marcel Michelin),Top 14,45.789342,3.106087
Bath Rugby (The Recreation Ground),English Premiership,51.382222, -2.355278
Benetton Treviso (Stadio Comunale di Monigo),Pro 12,45.680278,12.213333
Blues (Eden Park),Super Rugby,-36.875,174.744722
Brumbies (Canberra Stadium),Super Rugby,-35.25,149.102778
Bulls (Loftus Versfeld Stadium),Super Rugby,-25.753333,28.222778
CA Brive (Stade Amédée-Domenech),Top 14,45.161667,1.548611
Cardiff Blues (Cardiff Arms Park),Pro 12,51.479722,-3.183611
Castres Olympique (Stade Pierre-Antoine),Top 14,43.610941,2.252696
Cheetahs (Free State Stadium),Super Rugby,-29.117222,26.208889	
Chiefs (Waikato Stadium),Super Rugby,-37.781111,175.268333
Connacht (Galway Sportsground),Pro 12,53.279,-9.0397
Crusaders (AMI Stadium),Super Rugby,-43.5437,172.6041
Edinburgh (Murrayfield Stadium),Pro 12,55.942222,-3.240833
Exeter Chiefs (Sandy Park),English Premiership,50.709308, -3.467572
FC Grenoble (Stade Lesdiguières),Top 14,45.166111,5.709444
Glasgow Warriors (Scotstoun Stadium),Pro 12,55.881137,-4.34181
Gloucester Rugby (Kingsholm Stadium),English Premiership,51.871667, -2.242778
Harlequin FC (Twickenham Stoop),English Premiership,51.450278, -0.344167
Highlanders (Forsyth Barr Stadium),Super Rugby,-45.869167,170.524444
Hurricanes (Westpac Stadium),Super Rugby,-41.273056,174.785833
Leicester Tigers (Welford Road),English Premiership,52.624167, -1.133056
Leinster (Aviva Stadium),Pro 12,53.335139,-6.228333
Lions (Coca-Cola Park),Super Rugby,-26.1975,28.060833
London Irish (Madejski Stadium),English Premiership,51.422222, -0.982778
London Wasps (Adams Park),English Premiership,51.630556, -0.800278
Lyon olympique universitaire (Matmut Stadium),Top 14,45.721389,4.875556
Melbourne Rebels (Melbourne Rectangular Stadium),Super Rugby,-37.825278,144.983889
Montpellier Hérault Rugby (Stade Yves-du-Manoir),Top 14,43.593056,3.849722
Munster (Thormond Park),Pro 12,52.674167,-8.6425
New South Wales Waratahs (ANZ Stadium),Super Rugby,-33.847222,151.063333
Newcastle Falcons (Kingston Park),English Premiership,55.018611, -1.672222
Newport Gwent Dragons (Rodney Parade),Pro 12,51.588333,-2.987778
Northampton Saints (Franklin's Gardens),English Premiership,52.239444, -0.919722
Ospreys (Liberty Stadium),Pro 12,51.6422,-3.9351
Oyonnax Rugby (Stade Charles-Mathon),Top 14,46.253633,5.644844
Queensland Reds (Lang Park),Super Rugby,-27.464722,153.009444
Racing Métro 92 (Stade Olympique Yves-du-Manoir),Top 14,48.929444,2.248056
RC Toulonnais (Stade Mayol),Top 14,43.118947,5.936531
Sale Sharks (AJ Bell Stadium),English Premiership,53.469444, -2.375
Saracens FC (Allianz Park),English Premiership,51.603506, -0.223642
Scarlets (Parc y Scarlets),Pro 12,51.679167,-4.129167
Sharks (Kings Park Stadium),Super Rugby,-29.825,31.029722
Southern Kings (Nelson Mandela Bay Stadium),Super Rugby,-33.937778,25.598889
Stade Français Paris (Stade Jean-Bouin),Top 14,48.843056,2.252778
Stade Toulousain (Stade Ernest-Wallon),Top 14,43.621944,1.415556
Stormers (Newlands Stadium),Super Rugby,-33.970556,18.468333
Ulster (Ravenhill),Pro 12,54.576389,-5.904444
Union Bordeaux Bègles (Stade Chaban-Delmas),Top 14,44.829525,-0.598282
Western Force (Perth Oval),Super Rugby,-31.945833,115.87
Zebre (Stadio XXV Aprile),Pro 12,44.826111,10.328889
